timestamp,date,time,forward_energy_total_kwh,hour,day_of_week,unix_timestamp
2025-07-10 00:43:01 UTC,2025-07-10,00:43:01,469.74,0,Thursday,1752108181
2025-07-10 02:43:55 UTC,2025-07-10,02:43:55,469.81,2,Thursday,1752115435
2025-07-10 03:45:30 UTC,2025-07-10,03:45:30,469.84,3,Thursday,1752119130
2025-07-10 04:21:48 UTC,2025-07-10,04:21:48,469.86,4,Thursday,1752121308
2025-07-10 05:13:00 UTC,2025-07-10,05:13:00,470.06,5,Thursday,1752124380
2025-07-10 06:13:31 UTC,2025-07-10,06:13:31,470.08,6,Thursday,1752128011
2025-07-10 07:11:14 UTC,2025-07-10,07:11:14,470.1,7,Thursday,1752131474
2025-07-10 08:00:49 UTC,2025-07-10,08:00:49,470.12,8,Thursday,1752134449
2025-07-10 09:12:00 UTC,2025-07-10,09:12:00,470.18,9,Thursday,1752138720
2025-07-10 10:09:28 UTC,2025-07-10,10:09:28,470.23,10,Thursday,1752142168
2025-07-10 11:00:49 UTC,2025-07-10,11:00:49,470.36,11,Thursday,1752145249
2025-07-10 12:16:08 UTC,2025-07-10,12:16:08,470.4,12,Thursday,1752149768
2025-07-10 13:26:44 UTC,2025-07-10,13:26:44,470.45,13,Thursday,1752154004
2025-07-10 14:00:49 UTC,2025-07-10,14:00:49,470.47,14,Thursday,1752156049
2025-07-10 15:01:00 UTC,2025-07-10,15:01:00,470.51,15,Thursday,1752159660
2025-07-10 16:10:33 UTC,2025-07-10,16:10:33,470.99,16,Thursday,1752163833
2025-07-10 17:11:10 UTC,2025-07-10,17:11:10,471.73,17,Thursday,1752167470
2025-07-10 18:11:55 UTC,2025-07-10,18:11:55,472.11,18,Thursday,1752171115
2025-07-10 19:07:09 UTC,2025-07-10,19:07:09,472.4,19,Thursday,1752174429
2025-07-10 20:00:51 UTC,2025-07-10,20:00:51,472.46,20,Thursday,1752177651
2025-07-10 21:01:06 UTC,2025-07-10,21:01:06,472.61,21,Thursday,1752181266
